id_evento,tipo_evento,descripcion,canal,estado,fecha_evento,responsable,observaciones
1,Reclamo,Common catch never rate.,SMS,Activo,2024-08-08,Carlos Aguirre,At table entire really quite.
2,Mantenimiento,Various fly speech.,SMS,Finalizado,2024-06-20,Nancy Cochran,Through off four site reach.
3,Campaña,Nothing year treatment.,SMS,Activo,2024-09-28,Mark Johns,Reality wrong policy how.
4,Mantenimiento,Perform which brother reality fear growth.,Llamada,Activo,2024-11-28,Tony Newman,Suddenly they smile.
5,Reclamo,Standard kind house.,SMS,Finalizado,2024-10-14,John Flores,Bill from fine.
6,Campaña,Image idea radio strategy fall project.,Email,Activo,2024-11-25,Kevin Stanley,Act across past often.
7,Reclamo,Return eat suggest.,SMS,Finalizado,2024-11-04,Derek Henderson,Machine leg itself energy.
8,Reclamo,Research himself difficult behind.,Email,Activo,2024-08-07,Sergio Smith,Born something low ask movie.
9,Mantenimiento,Turn reflect magazine.,Llamada,Activo,2024-10-05,Daniel Peterson,Into artist when team.
10,Reclamo,There opportunity maybe.,Llamada,Activo,2024-07-29,Troy Estes,Remain middle special.
11,Mantenimiento,Off else black.,SMS,Activo,2024-09-11,Riley Lyons,Resource build cut factor.
12,Reclamo,Someone their what.,SMS,Finalizado,2024-06-30,Stephanie Cook,Final discover her around.
13,Mantenimiento,Program fly do question.,SMS,Finalizado,2025-03-03,Lori Simon,Money it manage man fact.
14,Mantenimiento,Water event project say site watch.,SMS,Finalizado,2024-08-11,William Padilla,Method put relate message.
15,Mantenimiento,Phone training TV new.,SMS,Finalizado,2024-07-15,Gary Everett,Wide alone morning exist.
16,Mantenimiento,Animal decision consumer today I.,Email,Activo,2025-03-25,Sarah Williams,Rule space we painting.
17,Campaña,Authority state question adult range.,Llamada,Activo,2024-04-17,Jessica Wiggins,Hard appear yeah modern read.
18,Campaña,Unit have all bit fill.,Llamada,Activo,2024-07-19,Spencer Jones,Letter expect produce on put.
19,Campaña,Where attention this together.,Llamada,Activo,2024-04-26,Elizabeth Baxter,Some range sport.
20,Campaña,Guy bag center before they.,Email,Finalizado,2024-05-07,Austin Haley,Response show middle may.
21,Campaña,Their fight home last environmental.,SMS,Activo,2024-10-23,Ricardo Frederick,Chance bill page book.
22,Mantenimiento,Education between scientist no trade.,Email,Finalizado,2024-10-02,Gina Taylor,Sign pressure training.
23,Reclamo,Deal trial measure point his itself.,Email,Finalizado,2024-11-28,Stephanie Miller,Present give bank air.
24,Reclamo,Already tend spring matter someone knowledge.,Email,Finalizado,2024-12-05,Samantha Alvarado,Act if by few style.
25,Reclamo,Bit course visit class Democrat.,SMS,Activo,2024-12-13,Guy Berry,Along it actually.
26,Reclamo,School practice least whose agency.,Llamada,Finalizado,2024-04-30,Erin Torres,Never nice agency much idea.
27,Mantenimiento,Voice no find show reveal help.,Llamada,Activo,2024-07-30,Tina Wright,Identify see leader.
28,Mantenimiento,Door add thing identify.,SMS,Finalizado,2024-11-26,Erin Hansen,Military less remain.
29,Mantenimiento,Give like increase choose.,Email,Finalizado,2024-04-23,Michael Bauer,Many safe despite campaign.
30,Campaña,Send number believe after herself agency.,SMS,Finalizado,2024-09-27,Kathryn Martin,Act hundred degree.
